nome,categoria,preco,quantidadeEstoque,descricao,caminhoImagem
KIT Provoleto (~700g),Queijos,79.90,50,Provoleto artesanal da Serra da Canastra com sabor marcante e textura firme,provoleto.jpg
Minas Padrão Pequeno (~600g),Queijos,42.00,60,Queijo Minas Padrão artesanal curado com casca natural,minas_pequeno.jpg
Minas Padrão Metade (~400g),Queijos,30.00,45,Metade do Queijo Minas Padrão artesanal ideal para experimentar,minas_metade.jpg
Parmesão Cunha (~650g),Queijos,79.90,40,Parmesão artesanal de longa maturação com sabor intenso e granulado,parmesao.jpg
Lombo Defumado Fatiado (100g),Embutidos,12.90,80,Lombo suíno defumado artesanalmente fatiado e embalado a vácuo,lombo.jpg
Doce De Leite Puro - Lata (800g),Doces,35.00,100,Doce de leite puro artesanal produzido com leite fresco da Canastra,doce_leite.jpg
